l1_code,name,l2_count,raw_rows,candidates,cand_1000plus
01,엔터·미디어,33,24107,16802,2829
02,금융·재테크,45,29057,12215,2930
03,건강·다이어트,31,24940,15940,3611
04,패션,34,26551,19852,3937
05,스포츠,48,22674,12536,2315
06,자동차,36,26395,15338,3223
07,IT·테크,40,24919,17149,3034
08,뷰티,47,25450,14630,2662
09,맛집·카페,82,36727,21129,8197
10,요리·푸드,58,23782,14582,3538
11,여행,71,34229,24605,6123
12,문화·예술,28,20666,14021,1738
13,반려동물,42,26347,14602,2809
14,아웃도어,48,28560,19370,5906
15,홈·리빙,16,21116,15375,2106
16,육아,17,21144,11909,2006
17,커리어,14,22256,12666,1892
18,게임,14,22852,11580,2273
